Formula,SMILES,Kind,Mode,Frequency,Intensity
C2H2,C#C,FundScaled,1,653.6403588,0
C2H2,C#C,FundScaled,2,653.6403588,0
C2H2,C#C,FundScaled,3,733.9895332,91.6439
C2H2,C#C,FundScaled,4,733.9895332,91.6439
C2H2,C#C,FundScaled,5,1992.381718,0
C2H2,C#C,FundScaled,6,3251.28545,89.6854
C2H2,C#C,FundScaled,7,3355.960618,0
C2H2O_1,C1=CO1,FundScaled,1,204.7177894,3.5861
C2H2O_1,C1=CO1,FundScaled,2,521.6094224,81.8743
C2H2O_1,C1=CO1,FundScaled,3,663.7315009,0.0045
C2H2O_1,C1=CO1,FundScaled,4,865.0001435,59.2357
C2H2O_1,C1=CO1,FundScaled,5,937.6856606,5.1893
C2H2O_1,C1=CO1,FundScaled,6,1056.269247,22.1134
C2H2O_1,C1=CO1,FundScaled,7,1779.804374,3.1443
C2H2O_1,C1=CO1,FundScaled,8,3181.764537,58.4774
C2H2O_1,C1=CO1,FundScaled,9,3255.212079,3.2893
C2H2O_2,C=C=O,FundScaled,1,414.4708922,2.7964
C2H2O_2,C=C=O,FundScaled,2,535.5908379,28.4602
C2H2O_2,C=C=O,FundScaled,3,567.2063465,94.349
C2H2O_2,C=C=O,FundScaled,4,923.827814,5.0166
C2H2O_2,C=C=O,FundScaled,5,1119.955609,7.1773
C2H2O_2,C=C=O,FundScaled,6,1336.106432,14.9411
C2H2O_2,C=C=O,FundScaled,7,2172.902713,731.9829
C2H2O_2,C=C=O,FundScaled,8,3050.217667,34.1933
C2H2O_2,C=C=O,FundScaled,9,3160.541984,10.3379
C2H2O2,O=CC=O,FundScaled,1,123.4946632,37.1653
C2H2O2,O=CC=O,FundScaled,2,327.9322041,54.9728
C2H2O2,O=CC=O,FundScaled,3,540.4557311,0
C2H2O2,O=CC=O,FundScaled,4,784.3513504,1.5536
C2H2O2,O=CC=O,FundScaled,5,1036.932098,0
C2H2O2,O=CC=O,FundScaled,6,1039.940691,0
C2H2O2,O=CC=O,FundScaled,7,1274.674272,8.6632
C2H2O2,O=CC=O,FundScaled,8,1317.301917,0
C2H2O2,O=CC=O,FundScaled,9,1781.211247,235.0818
C2H2O2,O=CC=O,FundScaled,10,1793.539415,0
C2H2O2,O=CC=O,FundScaled,11,2840.701873,101.8394
C2H2O2,O=CC=O,FundScaled,12,2843.602451,0
C2H2O2S_1,O=S(=O)=C=C,FundScaled,1,147.5343009,0.78
C2H2O2S_1,O=S(=O)=C=C,FundScaled,2,149.7249533,15.6093
C2H2O2S_1,O=S(=O)=C=C,FundScaled,3,304.4442848,18.0918
C2H2O2S_1,O=S(=O)=C=C,FundScaled,4,431.6869502,18.6744
C2H2O2S_1,O=S(=O)=C=C,FundScaled,5,432.2316076,35.8999
