Molecule,Frequency,Intensity,
H2O,500,9.79E-25,
H2O,501,2.23E-24,
H2O,502,4.43E-22,
H2O,503,6.39E-23,
H2O,504,8.72E-23,
H2O,505,7.44E-24,
H2O,506,2.58E-24,
H2O,507,8.36E-24,
H2O,508,1.13E-22,
H2O,509,1.17E-23,
H2O,510,3.06E-22,
H2O,511,2.42E-23,
H2O,512,8.36E-25,
H2O,513,5.53E-23,
H2O,514,3.32E-22,
H2O,515,2.80E-22,
H2O,516,8.31E-25,
H2O,517,4.31E-23,
H2O,518,5.55E-23,
H2O,519,4.05E-23,
H2O,520,5.50E-23,
H2O,521,2.78E-23,
H2O,522,5.21E-25,
H2O,523,3.30E-23,
H2O,524,1.93E-24,
H2O,525,3.26E-24,
H2O,526,3.08E-22,
H2O,527,7.63E-24,
H2O,528,4.51E-23,
H2O,529,5.88E-24,
H2O,530,4.54E-25,
H2O,531,1.52E-24,
H2O,532,3.70E-24,
H2O,533,5.44E-23,
H2O,534,2.25E-22,
H2O,535,2.00E-24,
H2O,536,9.86E-24,
H2O,537,1.32E-22,
H2O,538,1.02E-22,
H2O,539,1.12E-23,
H2O,540,2.95E-22,
H2O,541,2.21E-23,
H2O,542,9.54E-24,
H2O,543,2.48E-23,
H2O,544,8.35E-23,
H2O,545,1.20E-24,
H2O,546,5.90E-24,
H2O,547,5.85E-24,
H2O,548,1.59E-23,
H2O,549,4.62E-24,
H2O,550,2.33E-22,
H2O,551,2.07E-22,
H2O,552,1.83E-24,
H2O,553,3.31E-23,
H2O,554,4.72E-24,
H2O,555,5.66E-23,
H2O,556,1.35E-24,
H2O,557,2.03E-23,
H2O,558,1.87E-22,
H2O,559,8.04E-25,
H2O,560,6.72E-24,
H2O,561,8.41E-23,
H2O,562,3.10E-23,
H2O,563,1.28E-24,
H2O,564,1.84E-22,
H2O,565,2.05E-23,
H2O,566,3.43E-23,
H2O,567,5.67E-24,
H2O,568,2.59E-23,
H2O,569,6.03E-24,
H2O,570,6.58E-24,
H2O,571,4.66E-23,
H2O,572,1.70E-24,
H2O,573,1.94E-23,
H2O,574,1.15E-25,
H2O,575,1.67E-22,
H2O,576,1.77E-22,
H2O,577,5.85E-23,
H2O,578,2.32E-23,
H2O,579,2.22E-24,
H2O,580,1.10E-22,
H2O,581,2.79E-23,
H2O,582,8.17E-24,
H2O,583,1.85E-23,
H2O,584,1.32E-22,
H2O,585,6.58E-23,
H2O,586,1.42E-25,
H2O,587,3.76E-24,
H2O,588,1.26E-23,
H2O,589,1.28E-22,
H2O,590,1.92E-24,
H2O,591,2.22E-23,
H2O,592,2.05E-23,
H2O,593,4.07E-24,
H2O,594,1.45E-23,
H2O,595,1.43E-24,
H2O,596,1.23E-24,
H2O,597,4.61E-24,
H2O,598,1.00E-22,
H2O,599,1.33E-24,
H2O,600,1.45E-22,
H2O,601,2.77E-23,
H2O,602,7.41E-23,
H2O,603,1.92E-23,
H2O,604,9.48E-24,
H2O,605,1.25E-24,
H2O,606,3.00E-23,
H2O,607,6.17E-23,
H2O,608,2.92E-23,
H2O,609,6.91E-25,
H2O,610,9.58E-23,
H2O,611,9.43E-25,
H2O,612,8.57E-25,
H2O,613,8.72E-23,
